iter	Logloss
0	0.6832038231
1	0.6737240345
2	0.6644589807
3	0.6554109102
4	0.6466378761
5	0.6375016409
6	0.6292420073
7	0.6213862007
8	0.6136909398
9	0.6062640855
10	0.5990877107
11	0.5921370817
12	0.5854286996
13	0.579021421
14	0.5729028961
15	0.5669160814
16	0.5610074
17	0.5551806941
18	0.5497092646
19	0.5443690396
20	0.5392775762
21	0.5343154457
22	0.529481639
23	0.5248729972
24	0.5205256756
25	0.5160888855
26	0.512000769
27	0.5079952822
28	0.5041400948
29	0.500325803
30	0.4967393808
31	0.4933552439
32	0.4898718882
33	0.4862792997
34	0.4830746048
35	0.4798104779
36	0.4769837437
37	0.4740499646
38	0.471027026
39	0.4681417541
40	0.4655016666
41	0.4630317051
42	0.4605290072
43	0.4581278486
44	0.4557155084
45	0.4533910528
46	0.4512468868
47	0.4489340291
48	0.4467712968
49	0.4447752082
50	0.4428331462
51	0.4410012268
52	0.4389868251
53	0.4371193316
54	0.435333865
55	0.4335714161
56	0.4319371231
57	0.430411325
58	0.4288800262
59	0.4273030364
60	0.4258752572
61	0.4244110759
62	0.4229937829
63	0.4215973804
64	0.4201750611
65	0.4189026292
66	0.4176986207
67	0.4165181317
68	0.4153188287
69	0.414118076
70	0.4129955836
71	0.411851048
72	0.4108060325
73	0.4096797423
74	0.4086857527
75	0.4078136062
76	0.4069547583
77	0.405994048
78	0.40509353
79	0.4043184669
80	0.4034981709
81	0.4025651592
82	0.4016126116
83	0.4007312177
84	0.3999929924
85	0.3992924068
86	0.3984590342
87	0.3977044747
88	0.3969789957
89	0.3962760623
90	0.3956158209
91	0.3950248511
92	0.3943646546
93	0.393700291
94	0.3929252877
95	0.3923301514
96	0.3917210631
97	0.3912099599
98	0.3905849419
99	0.3901211795
100	0.3895869952
101	0.3890644151
102	0.3885548585
103	0.3881004646
104	0.3876657371
105	0.3871975929
106	0.386730836
107	0.3862886602
108	0.385795849
109	0.3853763034
110	0.3849507931
111	0.3845470339
112	0.384033864
113	0.3836346086
114	0.3832305235
115	0.3828015444
116	0.3824271129
117	0.3819947692
118	0.3815549513
119	0.3812064867
120	0.3808388617
121	0.3804781903
122	0.3801115796
123	0.3798078255
124	0.379482191
125	0.379171473
126	0.3788863947
127	0.3785936981
128	0.3782720114
129	0.3779309052
130	0.3776539712
131	0.3773132279
132	0.3770191796
133	0.376799149
134	0.3765548848
135	0.3762924566
136	0.3760631818
137	0.3758491559
138	0.3756268436
139	0.3753267343
140	0.375082314
141	0.374803641
142	0.374586337
143	0.3743575521
144	0.3741474927
145	0.3739472854
146	0.3737683608
147	0.3735629862
148	0.3733491417
149	0.3731521773
150	0.3729690538
151	0.3727945063
152	0.3726076395
153	0.372406867
154	0.3722371363
155	0.3720539235
156	0.3718728658
157	0.3716954194
158	0.3715306668
159	0.3713545583
160	0.3711947154
161	0.3710451246
162	0.3708390257
163	0.370686726
164	0.370543458
165	0.3704334081
166	0.3702457626
167	0.3701156581
168	0.3699949013
169	0.3698462982
170	0.3697074482
171	0.3695832872
172	0.3694645955
173	0.3693353257
174	0.3691946428
175	0.3690911892
176	0.3689743776
177	0.3688791452
178	0.3687676578
179	0.3686496533
180	0.3685505469
181	0.368445713
182	0.3683240059
183	0.368212727
184	0.3681052729
185	0.3679813671
186	0.3678580747
187	0.3676878599
188	0.3675252705
189	0.3674345278
190	0.3673313116
191	0.3672250215
192	0.3671430832
193	0.3670543861
194	0.3669371671
195	0.3668422689
196	0.3667021223
197	0.3666287287
198	0.3665502465
199	0.3664733118
200	0.3664061696
201	0.3663100046
202	0.3662290092
203	0.3661452671
204	0.3660631491
205	0.3659873014
206	0.3659193897
207	0.3658529211
208	0.3657803012
209	0.3656495401
210	0.3655624468
211	0.3654768089
212	0.3653672382
213	0.3652849786
214	0.365216585
215	0.365147114
216	0.3650717985
217	0.3650103259
218	0.3649579207
219	0.3648800854
220	0.36475555
221	0.3646851399
222	0.364613493
223	0.3645598564
224	0.3645101214
225	0.3643992175
226	0.3642919179
227	0.3642353418
228	0.3641751575
229	0.3641275884
230	0.3640651519
231	0.363961529
232	0.3639148826
233	0.3638541537
234	0.3638097468
235	0.3637621352
236	0.3637068564
237	0.3636128486
238	0.3635581739
239	0.3635106763
240	0.3634610719
241	0.3634149692
242	0.3633718056
243	0.3633332395
244	0.3632913787
245	0.3632392994
246	0.3631899761
247	0.3631472971
248	0.3631079508
249	0.3630109999
250	0.3629563887
251	0.362908766
252	0.3628622701
253	0.3628231303
254	0.3627811961
255	0.3627307404
256	0.3626956016
257	0.3626610128
258	0.3626203193
259	0.3625783705
260	0.3625458719
261	0.3625091771
262	0.3624284894
263	0.3623803104
264	0.3623433605
265	0.3623046448
266	0.3622603926
267	0.3622246658
268	0.3621952167
269	0.3621093761
270	0.3620770912
271	0.362040803
272	0.3620115165
273	0.3619294944
274	0.3618961153
275	0.3618678355
276	0.3618406106
277	0.3618171038
278	0.3617904689
279	0.3617607634
280	0.361730996
