iter	Passed	Remaining
0	36	36289
1	62	31072
2	88	29384
3	116	28938
4	143	28514
5	170	28314
6	196	27933
7	221	27509
8	246	27136
9	271	26855
10	296	26662
11	321	26444
12	354	26877
13	378	26676
14	404	26568
15	430	26501
16	456	26385
17	483	26387
18	509	26300
19	535	26260
20	560	26112
21	585	26019
22	610	25929
23	635	25831
24	662	25840
25	687	25764
26	713	25703
27	737	25598
28	762	25524
29	786	25433
30	812	25400
31	837	25333
32	863	25294
33	891	25322
34	916	25257
35	941	25208
36	966	25160
37	991	25092
38	1016	25041
39	1040	24981
40	1065	24925
41	1090	24878
42	1115	24822
43	1140	24786
44	1166	24757
45	1192	24727
46	1217	24681
47	1241	24626
48	1266	24571
49	1293	24569
50	1318	24532
51	1342	24476
52	1366	24422
53	1392	24394
54	1417	24348
55	1442	24314
56	1466	24267
57	1492	24235
58	1517	24206
59	1543	24176
60	1568	24146
61	1593	24105
62	1617	24059
63	1642	24023
64	1666	23975
65	1690	23929
66	1715	23888
67	1740	23854
68	1764	23808
69	1789	23768
70	1813	23733
71	1838	23690
72	1863	23666
73	1888	23637
74	1913	23601
75	1938	23566
76	1963	23535
77	1994	23572
78	2020	23559
79	2047	23542
80	2072	23515
81	2096	23471
82	2122	23451
83	2147	23421
84	2173	23394
85	2197	23352
86	2222	23322
87	2246	23285
88	2271	23249
89	2299	23254
90	2323	23214
91	2348	23178
92	2372	23140
93	2398	23113
94	2422	23078
95	2446	23042
96	2471	23003
97	2495	22970
98	2520	22941
99	2544	22904
100	2569	22868
101	2594	22841
102	2619	22815
103	2646	22802
104	2671	22770
105	2694	22726
106	2720	22706
107	2744	22668
108	2769	22636
109	2793	22603
110	2818	22571
111	2842	22540
112	2867	22511
113	2891	22474
114	2916	22442
115	2941	22415
116	2966	22384
117	2990	22354
118	3015	22327
119	3040	22298
120	3064	22264
121	3089	22232
122	3113	22197
123	3138	22171
124	3163	22147
125	3188	22120
126	3215	22100
127	3240	22072
128	3265	22047
129	3289	22013
130	3313	21982
131	3338	21951
132	3363	21924
133	3387	21894
134	3412	21867
135	3440	21856
136	3464	21824
137	3490	21801
138	3514	21768
139	3540	21746
140	3566	21725
141	3590	21696
