feature,mean,std
employment_status,777559.1146527529,1457.1846007187469
dti_div_credit,283631.8970095396,2270.903646004573
employment_status_target_enc,128216.60772166253,259.8979621300195
credit_score,113451.13629078865,11280.255157442545
debt_to_income_ratio,86223.54813981056,2389.208505339858
dti_times_rate,33180.75673966408,2365.673718872229
grade_subgrade,24511.67597949505,11888.051268428278
credit_score_norm,18403.532086992265,3339.0136719859506
dti_rate_interaction,12458.809158301354,2551.789738916163
loan_amount,10214.574858999253,866.55624811792
annual_income,7716.93098769188,510.7137815355408
interest_rate,6095.890310955047,720.0408379900363
dti_times_credit,4435.207257151604,678.5814422544391
grade_subgrade_target_enc,4265.649784636497,1944.7128911781879
income_times_rate,3739.525877571106,232.636162159506
credit_times_rate,3587.7749696493147,392.42292368328424
credit_div_rate,3359.580585837364,509.12708510731676
dti_div_rate,3300.789651465416,248.7105834590843
credit_bin,2967.647721886635,465.1040914398385
income_div_rate,2793.4865691184996,427.9979834066755
risk_score,2617.175362253189,541.5606588627049
risk_score_log,2370.5350573539736,394.2902294467886
credit_per_loan,2278.517050909996,118.49496626427285
loan_amount_log,2046.7317275047303,155.87477176299635
loan_to_income,2004.6135369300841,195.0654217232825
loan_per_credit,1927.4467043638228,274.9580700475521
income_to_loan,1519.9263307094575,44.2851431906716
loan_purpose_target_enc,1408.4481080293656,214.50269787368873
annual_income_log,1390.043193101883,228.1554188303921
interest_rate_sq,1081.9317236423492,169.640545592885
education_level_target_enc,1034.3033366441728,140.76578228237685
education_level,465.41670594215395,98.21518531691599
loan_purpose,351.1339352369308,104.60568589609566
loan_amount_sqrt,343.02790610790254,120.97514405275807
credit_bin_target_enc,303.8010311603546,176.51047371367645
marital_status_target_enc,267.7834873437881,66.69910780680055
loan_income_ratio_log,261.9019080400467,50.532952389207885
gender,234.5419920682907,58.9592673100243
annual_income_sqrt,208.01871435642244,50.77406689252829
loan_amount_sq,139.5491238117218,91.1503911885972
interest_rate_cube,132.54987173080445,49.25841010376887
marital_status,103.75998232364654,39.40607440275415
gender_target_enc,61.969045758247375,31.453733266750586
loan_size,28.79513578414917,25.335738712014745
interest_rate_log,28.372631883621217,14.164314646720014
loan_size_target_enc,22.723885774612427,20.791720944590857
debt_to_income_ratio_missing,0.0,0.0
loan_amount_missing,0.0,0.0
annual_income_missing,0.0,0.0
interest_rate_missing,0.0,0.0
high_interest,0.0,0.0
credit_score_missing,0.0,0.0
very_high_interest,0.0,0.0
